district,candidate,party,votes_received
Batticaloa,MAHINDA DEWAGE,SLSP,0
Batticaloa,ARIYANETHIRAN PAKKIYASELVAM,IND9,901
Batticaloa,VICTOR PERERA,IND10,3
Batticaloa,ANURUDDHA POLGAMPALA,IND11,6
Batticaloa,SAJITH PREMADASA,SJB,3205
Batticaloa,SARATH FONSEKA,IND12,11
Batticaloa,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,10
Batticaloa,SARATH BANDARANAYAKE,NDF,1
Batticaloa,BATHTHARAMULLE SEELARATHANA THERO,JSP,1
Batticaloa,NUWAN BOPEGE,SPF,5
Batticaloa,SARATH MANAMENDRA,NSU,2
Batticaloa,PEMASIRI MANAGE,IND14,2
Batticaloa,ANURUDDHA ROSHAN RANASINGHE,IND15,1
Batticaloa,JANAKA RATNAYAKE,ELPP,0
Batticaloa,NAMAL RAJAPAKSHA,SBP,2
Batticaloa,NAMAL RAJAPAKSA,SLPP,19
Batticaloa,WIJEYADASA RAJAPAKSHE,JPF,10
Batticaloa,A.S.P. LIYANAGE,SLLP,1
Batticaloa,KEERTHIE WICKRAMARATNE,AJP,3
Batticaloa,PRIYANTHA WICKRAMASINGHE,NSSP,4
Batticaloa,RANIL WICKREMESINGHE,IND16,5967
Batticaloa,PANI WIJESIRIWARDENA,SEP,1
Batticaloa,OSHALA HERATH,NIF,0
Digamadulla,AKMEEMANA DAYARATHANA THERO,IND1,19
Digamadulla,ABUBAKAR MOHAMED INFAS,DUA,10
Digamadulla,SIRIPALA AMARASINGHE,IND2,7
Digamadulla,K.K. PIYADASA,IND4,48
Digamadulla,SARATH KEERTHIRATHNA,IND5,9
Digamadulla,K.A. KULARATNA,IND6,6
Digamadulla,K.R. KRISHAN,APP,6
Digamadulla,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,0
Digamadulla,DILITH JAYAWEERA,SLCP,27
Digamadulla,SIRITUNGA JAYASURIYA,USP,4
Digamadulla,MYLVAGANAM THILAKARAJAH,IND8,1
Digamadulla,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,9
Digamadulla,LALITH DE SILVA,UNFF,2
Digamadulla,AJANTHA DE ZOYSA,RJA,7
Digamadulla,ANURA KUMARA DISSANAYAKE,NPP,11120
Digamadulla,MAHINDA DEWAGE,SLSP,8
Digamadulla,ARIYANETHIRAN PAKKIYASELVAM,IND9,233
Digamadulla,VICTOR PERERA,IND10,3
Digamadulla,ANURUDDHA POLGAMPALA,IND11,8
Digamadulla,SAJITH PREMADASA,SJB,7368
Digamadulla,SARATH FONSEKA,IND12,22
Digamadulla,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,25
